Name,Team,Game Played,AB,Run,Hit,Double,Triple,Homerun,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Matt Olson,ATL,4,12,4,4,0,0,2,5,5,4,0,0,0.333,0.529,0.833,1.362
Teoscar Hernandez ,TOR,2,8,3,2,0,0,2,4,0,1,1,0,0.25,0.333,1,1.333
Travis d'Arnaud,ATL,4,16,2,6,3,0,2,5,0,4,0,0,0.375,0.375,0.938,1.313
Freddie Freeman,LAD,4,14,1,5,3,0,1,3,3,4,1,0,0.357,0.5,0.786,1.286
Harrison Bader,NYY,9,30,8,10,0,0,5,6,4,6,0,1,0.333,0.429,0.833,1.262
Eduardo Escobar,NYM,3,9,2,3,1,0,1,2,2,3,0,0,0.333,0.455,0.778,1.233
Bryce Harper,PHI,17,63,12,22,7,0,6,13,6,14,1,0,0.349,0.414,0.746,1.16
Trea Turner,LAD,4,18,4,6,2,0,2,2,0,5,1,0,0.333,0.333,0.778,1.111
Pete Alonso,NYM,3,10,2,3,0,0,1,1,2,4,0,0,0.3,0.417,0.6,1.017
Orlando Arcia,ATL,4,10,1,3,0,0,1,1,2,2,0,0,0.3,0.417,0.6,1.017
Matt Chapman,TOR,2,7,0,3,1,0,0,1,1,2,0,0,0.429,0.444,0.571,1.015
Jeremy Pena ,HOU,13,58,12,20,5,0,4,8,2,15,0,1,0.345,0.367,0.638,1.005
Lars Nootbaar,STL,2,6,0,2,1,0,0,0,2,2,0,0,0.333,0.5,0.5,1
Anthony Rizzo,NYY,9,29,4,8,2,0,2,8,5,8,0,1,0.276,0.432,0.552,0.984
Eugenio Suarez,SEA,5,20,5,7,2,0,1,3,1,5,0,0,0.35,0.381,0.6,0.981
Alex Bregman,HOU,13,51,7,15,5,0,3,11,6,6,1,0,0.294,0.379,0.569,0.948
Max Muncy,LAD,4,14,2,4,1,0,1,2,2,6,0,0,0.286,0.375,0.571,0.946
Alejandro Kirk,TOR,2,8,2,3,1,0,0,0,1,1,0,0,0.375,0.444,0.5,0.944
Kyle Schwarber,PHI,17,55,13,12,0,0,6,10,15,18,3,0,0.218,0.392,0.545,0.937
Manny Machado,SD,12,48,4,13,3,0,4,7,4,17,0,0,0.271,0.327,0.583,0.91
Brandon Nimmo ,NYM,3,12,0,4,0,1,0,1,1,1,0,0,0.333,0.385,0.5,0.885
Danny Jansen,TOR,2,8,0,3,1,0,0,2,0,4,0,0,0.375,0.375,0.5,0.875
Yuli Gurriel,HOU,12,49,4,17,1,0,2,4,1,1,2,0,0.347,0.36,0.49,0.85
Jose Ramirez,CLE,7,30,2,10,2,0,1,4,1,7,0,0,0.333,0.344,0.5,0.844
Francisco Lindor,NYM,3,10,2,2,0,0,1,1,1,2,1,0,0.2,0.333,0.5,0.833
Ronald Acuna ,ATL,4,15,2,5,1,0,0,0,1,5,0,0,0.333,0.412,0.4,0.812
Julio Rodriguez,SEA,5,23,5,5,3,1,0,2,3,7,1,0,0.217,0.357,0.435,0.792
Steven Kwan,CLE,7,30,4,9,1,0,1,2,2,2,1,0,0.3,0.344,0.433,0.777
Carlos Santana,SEA,5,22,1,5,2,0,1,4,2,8,0,0,0.227,0.292,0.455,0.747
Yordan Alvarez,HOU,13,52,9,10,3,0,3,14,6,16,0,0,0.192,0.311,0.423,0.734
Trent Grisham,SD,12,40,8,8,0,0,3,5,4,15,0,0,0.2,0.304,0.425,0.729
